	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ENSDARG00000017624.6	3.26069782736452e-10	-1.25943499751833	0.602	0.609	7.16342705693711e-06	9	ENSDARG00000017624
ENSDARG00000036830.3	1.6968410677635e-09	-1.05334175653181	0.374	0.442	3.72779014176963e-05	9	ENSDARG00000036830
ENSDARG00000058371.4	4.35777727423037e-09	-1.08018109523514	0.256	0.336	9.5736008937567e-05	9	ENSDARG00000058371
ENSDARG00000102975.3	1.92209712838815e-08	-1.00489068622582	0.045	0.115	0.000422265518135592	9	ENSDARG00000102975
ENSDARG00000007697.5	4.26881336782974e-08	-1.11804336995837	0.277	0.347	0.000937815608778516	9	ENSDARG00000007697
ENSDARG00000015866.6	1.17015880170978e-07	-1.38451369237605	0.568	0.58	0.00257072187147621	9	ENSDARG00000015866
ENSDARG00000101324.6	4.06297965496279e-07	-1.50603902696475	0.416	0.46	0.00892596000398776	9	ENSDARG00000101324
ENSDARG00000027236.5	2.19684492890889e-06	-1.46447010895861	0.061	0.12	0.0482624862431993	9	ENSDARG00000027236
ENSDARG00000027088.4	2.34075584465033e-06	-1.23364255118949	0.29	0.338	0.051424065151123	9	ENSDARG00000027088
ENSDARG00000002193.7	2.88231422864488e-06	-1.94651618693227	0.361	0.417	0.0633215612890994	9	ENSDARG00000002193
ENSDARG00000044684.7	1.21829200290116e-05	-1.03443996688436	0.429	0.463	0.267646570117357	9	ENSDARG00000044684
ENSDARG00000092947.6	2.45560218449458e-05	-1.25012311687976	0.5	0.501	0.539471243911614	9	ENSDARG00000092947
ENSDARG00000023151.4	0.000175459676160349	-1.02473598163269	0.084	0.129	1	9	ENSDARG00000023151
ENSDARG00000079305.7	0.000179693726273353	-2.39179804178734	0.156	0.206	1	9	ENSDARG00000079305
ENSDARG00000038153.6	0.000355467062816011	-1.15851919274627	0.177	0.222	1	9	ENSDARG00000038153
ENSDARG00000038439.5	0.000769897276603831	-1.47078966318508	0.389	0.402	1	9	ENSDARG00000038439
ENSDARG00000093303.6	0.00433176851041763	-1.27231761281352	0.184	0.214	1	9	ENSDARG00000093303
ENSDARG00000113599.6	0	5.69186894312599	0.969	0.175	0	10	ENSDARG00000113599
ENSDARG00000087390.7	0	5.63748185972802	0.989	0.195	0	10	ENSDARG00000087390
ENSDARG00000079305.8	0	5.61387556761365	0.989	0.18	0	10	ENSDARG00000079305
ENSDARG00000088330.4	0	5.5988125651004	0.994	0.07	0	10	ENSDARG00000088330
ENSDARG00000045143.8	0	5.48159025377817	0.963	0.128	0	10	ENSDARG00000045143
ENSDARG00000115405.6	0	5.19985990012186	0.985	0.091	0	10	ENSDARG00000115405
ENSDARG00000089475	0	5.06210826941523	0.968	0.051	0	10	ENSDARG00000089475
